ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
1942,4,1,3,0,40.49838221,40.49977924,-74.24235702,-74.24051415
1943,4,2,2,2,40.49838221,40.49977924,-74.24051415,-74.23867128
2259,1,0,0,0,40.49977924,40.50117628,-74.24972848,-74.24788561
2262,4,1,3,0,40.49977924,40.50117628,-74.24419988,-74.24235702
2263,6,1,5,0,40.49977924,40.50117628,-74.24235702,-74.24051415
2264,14,7,7,2,40.49977924,40.50117628,-74.24051415,-74.23867128
2265,8,1,7,0,40.49977924,40.50117628,-74.23867128,-74.23682842
2266,1,0,1,0,40.49977924,40.50117628,-74.23682842,-74.23498555
2578,1,0,1,0,40.50117628,40.50257331,-74.25341421,-74.25157134
2580,3,2,1,4,40.50117628,40.50257331,-74.24972848,-74.24788561
2581,11,3,8,0,40.50117628,40.50257331,-74.24788561,-74.24604275
2582,1,1,0,4,40.50117628,40.50257331,-74.24604275,-74.24419988
2583,1,0,1,0,40.50117628,40.50257331,-74.24419988,-74.24235702
2584,1,1,0,4,40.50117628,40.50257331,-74.24235702,-74.24051415
2585,2,2,0,4,40.50117628,40.50257331,-74.24051415,-74.23867128
2586,15,3,11,0,40.50117628,40.50257331,-74.23867128,-74.23682842
2587,3,2,1,4,40.50117628,40.50257331,-74.23682842,-74.23498555
2588,4,1,3,0,40.50117628,40.50257331,-74.23498555,-74.23314269
2589,1,0,1,0,40.50117628,40.50257331,-74.23314269,-74.23129982
2899,2,1,1,2,40.50257331,40.50397035,-74.25341421,-74.25157134
2901,4,1,3,0,40.50257331,40.50397035,-74.24972848,-74.24788561
2903,6,4,2,4,40.50257331,40.50397035,-74.24604275,-74.24419988
2904,10,6,4,4,40.50257331,40.50397035,-74.24419988,-74.24235702
2905,3,2,1,4,40.50257331,40.50397035,-74.24235702,-74.24051415
2906,1,0,1,0,40.50257331,40.50397035,-74.24051415,-74.23867128
2907,10,7,3,4,40.50257331,40.50397035,-74.23867128,-74.23682842
2910,3,2,1,4,40.50257331,40.50397035,-74.23314269,-74.23129982
2911,3,3,0,4,40.50257331,40.50397035,-74.23129982,-74.22945696
3220,10,2,8,0,40.50397035,40.50536738,-74.25341421,-74.25157134
3221,7,4,3,2,40.50397035,40.50536738,-74.25157134,-74.24972848
3222,3,3,0,4,40.50397035,40.50536738,-74.24972848,-74.24788561
3223,2,2,0,4,40.50397035,40.50536738,-74.24788561,-74.24604275
3224,1,0,0,0,40.50397035,40.50536738,-74.24604275,-74.24419988
3225,2,1,1,2,40.50397035,40.50536738,-74.24419988,-74.24235702
3226,1,1,0,4,40.50397035,40.50536738,-74.24235702,-74.24051415
3227,8,2,5,0,40.50397035,40.50536738,-74.24051415,-74.23867128
3228,1,1,0,4,40.50397035,40.50536738,-74.23867128,-74.23682842
3230,1,1,0,4,40.50397035,40.50536738,-74.23498555,-74.23314269
3232,1,1,0,4,40.50397035,40.50536738,-74.23129982,-74.22945696
3540,2,1,0,4,40.50536738,40.50676442,-74.25525708,-74.25341421
3541,3,2,1,4,40.50536738,40.50676442,-74.25341421,-74.25157134
3543,1,1,0,4,40.50536738,40.50676442,-74.24972848,-74.24788561
3544,1,0,1,0,40.50536738,40.50676442,-74.24788561,-74.24604275
3545,6,2,4,0,40.50536738,40.50676442,-74.24604275,-74.24419988
3546,3,2,1,4,40.50536738,40.50676442,-74.24419988,-74.24235702
3547,1,1,0,4,40.50536738,40.50676442,-74.24235702,-74.24051415
