Year,VIC_AGE_GROUP,OffenseCount
2006,25-44,167452
2006,UNKNOWN,146366
2006,45-64,77831
2006,18-24,57346
2006,<18,30986
2006,65+,14514
2007,UNKNOWN,169458
2007,25-44,160228
2007,45-64,75114
2007,18-24,55928
2007,<18,28487
2007,65+,14024
2008,UNKNOWN,163675
2008,25-44,159101
2008,45-64,75887
2008,18-24,56579
2008,<18,29264
2008,65+,13984
2009,UNKNOWN,163949
2009,25-44,151121
2009,45-64,73475
2009,18-24,54802
2009,<18,26529
2009,65+,13181
2010,UNKNOWN,160918
2010,25-44,150577
2010,45-64,74256
2010,18-24,54321
2010,<18,26317
2010,65+,13516
2011,UNKNOWN,156902
2011,25-44,148603
2011,45-64,75224
2011,18-24,52561
2011,<18,24167
2011,65+,13929
2012,25-44,154232
2012,UNKNOWN,149927
2012,45-64,79978
2012,18-24,55125
2012,<18,23256
2012,65+,15401
2013,25-44,155229
2013,UNKNOWN,142115
2013,45-64,81381
2013,18-24,53873
2013,<18,22849
2013,65+,15990
2014,25-44,151967
2014,UNKNOWN,143688
2014,45-64,81380
2014,18-24,49889
2014,<18,21405
2014,65+,16319
2015,25-44,149438
2015,UNKNOWN,137304
2015,45-64,81027
2015,18-24,46895
2015,<18,20344
2015,65+,16616
2016,25-44,154943
2016,UNKNOWN,127487
2016,45-64,83498
2016,18-24,47059
2016,<18,20167
2016,65+,17727
2017,25-44,152422
2017,UNKNOWN,126552
2017,45-64,82672
2017,18-24,43555
2017,<18,19780
2017,65+,18599
2018,25-44,155657
2018,UNKNOWN,118364
2018,45-64,83799
2018,18-24,43528
2018,65+,19159
2018,<18,18324
2019,25-44,158627
2019,UNKNOWN,114815
2019,45-64,83267
2019,18-24,42866
2019,65+,19310
2019,<18,18837
2020,25-44,153125
2020,UNKNOWN,91418
2020,45-64,81063
2020,18-24,36177
2020,65+,18233
2020,<18,11109
2021,25-44,159802
2021,UNKNOWN,105229
2021,45-64,86351
2021,18-24,38185
2021,65+,20745
2021,<18,13081
2022,25-44,180331
2022,UNKNOWN,135855
2022,45-64,96087
2022,18-24,42990
2022,65+,25472
2022,<18,17951
